Lambda,Difference,KSD
27,HC - TBI 3-months,0.0326666666666667
24,HC - TBI 3-months,0.0385833333333333
21,HC - TBI 3-months,0.0505833333333334
18,HC - TBI 3-months,0.0714166666666666
15,HC - TBI 3-months,0.0911666666666667
12,HC - TBI 3-months,0.124083333333333
9,HC - TBI 3-months,0.160416666666667
6,HC - TBI 3-months,0.205500000000000
3,HC - TBI 3-months,0.241833333333333
1,HC - TBI 3-months,0.248583333333333
27,HC - TBI 6-months,0.0316666666666667
24,HC - TBI 6-months,0.0420833333333334
21,HC - TBI 6-months,0.0570833333333333
18,HC - TBI 6-months,0.0801666666666667
15,HC - TBI 6-months,0.105000000000000
12,HC - TBI 6-months,0.156000000000000
9,HC - TBI 6-months,0.211750000000000
6,HC - TBI 6-months,0.302750000000000
3,HC - TBI 6-months,0.420166666666667
1,HC - TBI 6-months,0.494083333333333
27,HC - TBI 12-months,0.0345000000000001
24,HC - TBI 12-months,0.0389999999999999
21,HC - TBI 12-months,0.0461666666666666
18,HC - TBI 12-months,0.0628333333333334
15,HC - TBI 12-months,0.0735833333333333
12,HC - TBI 12-months,0.0915000000000000
9,HC - TBI 12-months,0.111916666666667
6,HC - TBI 12-months,0.141333333333333
3,HC - TBI 12-months,0.208833333333333
1,HC - TBI 12-months,0.293666666666667